exponent,min_runtime_old,min_runtime_new
445, 6.104999920353293e-05,7.300001016119495e-06
446, 6.194000161485747e-05,7.189999450929463e-06
447, 6.321999899228103e-05,7.700000423938036e-06
448, 6.646000110777095e-05,6.079997547203675e-06
449, 6.25689972366672e-05,6.160000339150429e-06
450, 8.501000047544949e-05,5.909998435527086e-06
451, 8.537000030628406e-05,6.689999281661585e-06
452, 8.608999996795319e-05,6.009999196976423e-06
453, 6.75490009598434e-05,6.589998520212248e-06
454, 6.500900053652003e-05,6.491001840913668e-06
455, 6.446900079026818e-05,7.220001862151548e-06
456, 6.592899808310904e-05,6.209000275703147e-06
457, 6.480999945779331e-05,6.688998837489635e-06
458, 6.697000208077952e-05,6.55999974696897e-06
459, 6.469999789260328e-05,7.0400019467342645e-06
460, 6.602000212296844e-05,6.660000508418307e-06
461, 6.589999975403771e-05,7.099999493220821e-06
462, 6.582000060006976e-05,6.950001989025623e-06
463, 6.702899918309413e-05,7.651000487385318e-06
464, 6.584000220755115e-05,6.0399979702197015e-06
465, 6.661999941570684e-05,6.680002115899697e-06
466, 0.0001412800011166837,1.1619998986134306e-05
467, 0.00014114900113781914,1.2360000255284831e-05
468, 0.00014107999959378503,1.1731000995496288e-05
469, 0.00014107999959378503,1.2299999070819467e-05
470, 0.00014107999959378503,1.2230000720592216e-05
471, 0.00014251000175136141,1.2680000509135425e-05
472, 0.00013923000005888753,1.1889998859260231e-05
473, 0.0001405099974363111,1.221999991685152e-05
474, 0.00014106000162428245,1.2379998224787414e-05
475, 0.0001421999986632727,1.2919997971039265e-05
476, 0.0001394400023855269,1.221999991685152e-05
477, 0.00014219000149751082,1.281000004382804e-05
478, 0.00014155000098980963,1.2779997632605955e-05
479, 0.00014444999760598876,1.3629000022774562e-05
480, 0.0001445300003979355,1.1559997801668942e-05
481, 0.00014446999921347015,1.2020002031931654e-05
482, 0.000144931000249926,1.198000245494768e-05
483, 0.00014566900063073263,1.253099981113337e-05
484, 0.0001421999986632727,1.2040000001434237e-05
485, 0.00014364999879035167,1.2359996617306024e-05
